datetime,datetime,year,month,day,random,sazonal,timeSeries
2032-01-01 00:00:00,2032-01-01 00:00:00,2032,1,1,0.18236735268017545,1.0,10.182367352680176
2032-01-01 01:00:00,2032-01-01 01:00:00,2032,1,1,0.738316102367691,0.9999997588734665,10.738313691102356
2032-01-01 02:00:00,2032-01-01 02:00:00,2032,1,1,0.9961096095736477,0.9999990354939822,10.99609996451347
2032-01-01 03:00:00,2032-01-01 03:00:00,2032,1,1,0.4197910449823299,0.999997829861896,10.419769343601288
2032-01-01 04:00:00,2032-01-01 04:00:00,2032,1,1,0.7341490398425009,0.9999961419777894,10.734110459620394
2032-01-01 05:00:00,2032-01-01 05:00:00,2032,1,1,0.8638432659420646,0.9999939718424762,10.863782984366827
2032-01-01 06:00:00,2032-01-01 06:00:00,2032,1,1,0.16142679677842675,0.9999913194570031,10.161339991348457
2032-01-01 07:00:00,2032-01-01 07:00:00,2032,1,1,0.576246091848863,0.9999881848226492,10.576127940075356
2032-01-01 08:00:00,2032-01-01 08:00:00,2032,1,1,0.011526652515726599,0.9999845679409262,10.011372331924989
2032-01-01 09:00:00,2032-01-01 09:00:00,2032,1,1,0.8607682316793878,0.9999804688135782,10.86057291981517
2032-01-01 10:00:00,2032-01-01 10:00:00,2032,1,1,0.04516845040905926,0.9999758874425823,10.044927324834882
2032-01-01 11:00:00,2032-01-01 11:00:00,2032,1,1,0.9084395092664824,0.9999708238301476,10.90814774756796
2032-01-01 12:00:00,2032-01-01 12:00:00,2032,1,1,0.016967347396433796,0.9999652779787161,10.016620127183597
2032-01-01 13:00:00,2032-01-01 13:00:00,2032,1,1,0.23154430994690012,0.9999592498909624,10.231136808856524
2032-01-01 14:00:00,2032-01-01 14:00:00,2032,1,1,0.5131410304246354,0.9999527395697936,10.512668426122572
2032-01-01 15:00:00,2032-01-01 15:00:00,2032,1,1,0.7762229927229402,0.9999457470183493,10.775680462906434
2032-01-01 16:00:00,2032-01-01 16:00:00,2032,1,1,0.47494331984649807,0.9999382722400014,10.474326042246512
